date	Iraq	Pakistan	Afghanistan	India	Colombia	Philippines	Peru	El Salvador	United Kingdom	Turkey	Thailand	Somalia	Nigeria	Spain	Yemen	Sri Lanka	United States	Algeria	France	Lebanon	Chile	Egypt	Russia	West Bank and Gaza Strip	Israel	Libya	Guatemala	South Africa	Nicaragua	Syria	Ukraine	Bangladesh	Italy	Greece	Nepal	Sudan	Argentina	Indonesia	Germany	Iran
1970	0	1	0	0	1	10	0	0	12	12	0	0	0	4	0	0	468	0	0	1	0	1	0	0	1	0	4	0	1	0	0	0	3	3	0	0	21	0	0	5
1971	0	0	0	0	0	4	0	0	81	35	0	0	0	22	0	0	247	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	3	1	0	0	7	0	0	11
1972	0	0	0	1	2	7	0	2	285	9	1	0	0	19	0	0	64	1	9	3	0	1	0	1	1	0	0	0	0	0	0	0	4	2	0	0	15	0	0	15
1973	0	0	1	0	6	0	3	1	189	0	0	0	0	21	0	0	58	0	14	11	7	0	0	0	1	0	0	0	0	0	0	0	15	11	0	1	60	0	0	4
1974	0	2	0	0	0	1	3	3	202	1	1	0	0	14	0	0	94	0	29	11	0	0	0	0	12	0	1	1	1	4	0	0	22	6	0	0	71	0	0	11
1975	1	2	0	1	10	4	2	3	194	10	0	1	0	136	0	1	149	0	39	15	0	0	0	0	2	0	5	0	1	2	0	0	7	4	0	0	38	0	0	13
1976	3	3	0	1	22	10	0	13	194	35	0	0	0	50	0	0	105	1	58	4	2	0	0	1	2	0	13	1	0	2	0	0	174	21	0	0	54	0	0	4
1977	0	0	0	1	80	2	4	6	140	189	3	0	0	147	0	0	130	0	53	4	6	1	0	0	6	0	8	15	5	3	0	1	308	47	0	0	17	1	0	5
1978	0	2	0	0	158	36	4	91	100	52	5	0	0	209	0	0	87	1	59	12	8	2	0	4	23	0	29	9	76	1	0	0	277	39	0	0	25	2	0	27
1979	2	7	3	20	140	50	3	326	238	141	16	0	0	279	0	3	69	1	212	38	49	1	0	22	130	3	60	16	206	28	0	1	209	9	0	0	16	0	0	82
1980	6	1	0	10	141	60	64	710	134	95	26	1	1	187	0	0	67	0	94	86	41	5	0	56	79	2	281	23	35	33	0	1	110	15	0	0	6	0	0	67
